QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,False,True,,1,-1,0,7,0,1.0,3.0,7.0
1146004,True,False,"Expecting ',' delimiter: line 1 column 1823 (char 1822)",-1,-1,0,0,0,-1.0,0.0,0.0
1173001,False,True,,1,-1,0,10,0,-2.0,3.1,1.9
1173002,False,True,,1,-1,0,10,0,-6.0,4.4,0.8999999999999995
1173003,False,True,,1,-1,0,6,0,-1.0,4.333333333333333,0.16666666666666696
1173004,True,False,"Expecting ',' delimiter: line 1 column 964 (char 963)",-1,-1,0,0,0,-1.0,0.0,0.0
1173005,False,True,,1,-1,0,4,0,6.0,5.0,-2.0
1213249,False,True,,1,-1,0,2,0,3.0,2.5,-0.5
1433792,True,False,Unterminated string starting at: line 1 column 388 (char 387),-1,-1,0,0,0,-1.0,0.0,0.0
5100002,False,True,,1,-1,0,12,0,-7.0,2.9166666666666665,-1.2499999999999998
5100003,False,True,,1,-1,0,8,0,-6.0,1.875,3.25
500000002,False,True,,1,-1,0,16,0,-7.0,3.0625,-1.1875
500000003,False,True,,1,-1,0,8,0,3.0,5.125,-3.125
500000005,False,True,,1,-1,0,5,0,2.0,2.2,1.5999999999999996
500100002,False,True,,1,-1,0,9,0,1.0,2.888888888888889,0.22222222222222232
500100003,True,False,"Expecting ',' delimiter: line 1 column 2648 (char 2647)",-1,-1,0,0,0,-1.0,0.0,0.0
500100004,False,True,,1,-1,0,8,1,0.0,3.75,-0.08333333333333348
500100005,False,True,,1,-1,0,11,0,-5.0,2.1818181818181817,1.0909090909090913
500100006,False,True,,1,-1,0,9,0,5.0,3.6666666666666665,0.11111111111111116
