QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
1146004,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
1173001,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
1173002,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
1173003,False,True,,1,-1,0,7,-1,1.0,3.142857142857143,1.3571428571428572
1173004,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
1173005,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
1213249,True,False,"Expecting ',' delimiter: line 2 column 1 (char 3857)",-1,-1,0,0,0,-1,0,0
1433792,True,False,"Expecting ',' delimiter: line 147 column 1 (char 2401)",-1,-1,0,0,0,-1,0,0
5100002,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
5100003,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500000002,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500000003,True,False,"Expecting ',' delimiter: line 1 column 1994 (char 1993)",-1,-1,0,0,0,-1,0,0
500000005,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100002,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100003,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100004,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100005,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100006,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100007,True,False,"Expecting ',' delimiter: line 1 column 2167 (char 2166)",-1,-1,0,0,0,-1,0,0
500100008,True,False,"Expecting ',' delimiter: line 1 column 4647 (char 4646)",-1,-1,0,0,0,-1,0,0
500100009,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100010,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100011,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100012,True,False,"Expecting ',' delimiter: line 40 column 1 (char 1010)",-1,-1,0,0,0,-1,0,0
500100013,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100014,False,True,,1,-1,0,7,3,0.0,3.0,0.20000000000000018
500100015,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100016,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100017,True,False,"Expecting ',' delimiter: line 3 column 1 (char 4568)",-1,-1,0,0,0,-1,0,0
500100018,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100019,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100020,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100021,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100022,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100023,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100024,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100025,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100026,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100027,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100028,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100029,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100030,True,False,"Expecting ',' delimiter: line 1 column 758 (char 757)",-1,-1,0,0,0,-1,0,0
500100031,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100032,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100033,True,False,Extra data: line 3 column 1 (char 430),-1,-1,0,0,0,-1,0,0
500100034,True,False,Extra data: line 3 column 1 (char 1838),-1,-1,0,0,0,-1,0,0
500100035,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100036,True,False,"Expecting ',' delimiter: line 103 column 1 (char 1456)",-1,-1,0,0,0,-1,0,0
500100037,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100038,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
500100039,True,False,Extra data: line 1 column 8 (char 7),-1,-1,0,0,0,-1,0,0
