ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,How would you describe the overall atmosphere in the workplace?,How long have you been with the company?,0.08760869616261553
0,How would you describe the overall atmosphere in the workplace?,"On a scale of 1 to 10, how would you rate the overall workplace culture within the company? (1 being very poor, 10 being excellent)",0.0743767200494766
0,How would you describe the overall atmosphere in the workplace?,What aspects of the workplace culture do you find most positive and engaging?,0.05299235777463638
0,How would you describe the overall atmosphere in the workplace?,What aspects do you find least positive or in need of improvement?,0.05856561269278807
0,How would you describe the overall atmosphere in the workplace?,Do you feel that the company's values are reflected in the workplace culture?,0.15617819396716565
0,How would you describe the overall atmosphere in the workplace?,Do you feel that there is open and effective communication among colleagues and teams?,0.03390539410750599
0,How would you describe the overall atmosphere in the workplace?,"There is a high-degree of collaboration within the workplace, even among different team members.",0.03390539410750599
0,How would you describe the overall atmosphere in the workplace?,Feel free to leave additional comments or feedback regarding workplace culture.,0.0
1,Do you feel like you belong and are valued as a team member?,How long have you been with the company?,0.0405487152208931
1,Do you feel like you belong and are valued as a team member?,"On a scale of 1 to 10, how would you rate the overall workplace culture within the company? (1 being very poor, 10 being excellent)",0.022782683765509446
1,Do you feel like you belong and are valued as a team member?,What aspects of the workplace culture do you find most positive and engaging?,0.057344543002191384
1,Do you feel like you belong and are valued as a team member?,What aspects do you find least positive or in need of improvement?,0.0405487152208931
1,Do you feel like you belong and are valued as a team member?,Do you feel that the company's values are reflected in the workplace culture?,0.22645540682891918
1,Do you feel like you belong and are valued as a team member?,Do you feel that there is open and effective communication among colleagues and teams?,0.2096888927716905
1,Do you feel like you belong and are valued as a team member?,"There is a high-degree of collaboration within the workplace, even among different team members.",0.05309881489255981
1,Do you feel like you belong and are valued as a team member?,Feel free to leave additional comments or feedback regarding workplace culture.,0.0
2,How would you rate the level of trust and respect among team members?,How long have you been with the company?,0.0702324349442283
2,How would you rate the level of trust and respect among team members?,"On a scale of 1 to 10, how would you rate the overall workplace culture within the company? (1 being very poor, 10 being excellent)",0.12319586076293453
2,How would you rate the level of trust and respect among team members?,What aspects of the workplace culture do you find most positive and engaging?,0.08109743044178618
2,How would you rate the level of trust and respect among team members?,What aspects do you find least positive or in need of improvement?,0.057344543002191384
2,How would you rate the level of trust and respect among team members?,Do you feel that the company's values are reflected in the workplace culture?,0.057344543002191384
2,How would you rate the level of trust and respect among team members?,Do you feel that there is open and effective communication among colleagues and teams?,0.06503250121663393
2,How would you rate the level of trust and respect among team members?,"There is a high-degree of collaboration within the workplace, even among different team members.",0.07509306416699653
2,How would you rate the level of trust and respect among team members?,Feel free to leave additional comments or feedback regarding workplace culture.,0.0
3,Do you feel like you are encouraged to share your ideas and opinions?,How long have you been with the company?,0.0405487152208931
3,Do you feel like you are encouraged to share your ideas and opinions?,"On a scale of 1 to 10, how would you rate the overall workplace culture within the company? (1 being very poor, 10 being excellent)",0.022782683765509446
3,Do you feel like you are encouraged to share your ideas and opinions?,What aspects of the workplace culture do you find most positive and engaging?,0.057344543002191384
3,Do you feel like you are encouraged to share your ideas and opinions?,What aspects do you find least positive or in need of improvement?,0.0405487152208931
3,Do you feel like you are encouraged to share your ideas and opinions?,Do you feel that the company's values are reflected in the workplace culture?,0.22645540682891918
3,Do you feel like you are encouraged to share your ideas and opinions?,Do you feel that there is open and effective communication among colleagues and teams?,0.2096888927716905
3,Do you feel like you are encouraged to share your ideas and opinions?,"There is a high-degree of collaboration within the workplace, even among different team members.",0.0
3,Do you feel like you are encouraged to share your ideas and opinions?,Feel free to leave additional comments or feedback regarding workplace culture.,0.0405487152208931
4,How would you rate the level of communication and transparency within the organization?,How long have you been with the company?,0.0702324349442283
4,How would you rate the level of communication and transparency within the organization?,"On a scale of 1 to 10, how would you rate the overall workplace culture within the company? (1 being very poor, 10 being excellent)",0.16831758930770718
4,How would you rate the level of communication and transparency within the organization?,What aspects of the workplace culture do you find most positive and engaging?,0.08109743044178618
4,How would you rate the level of communication and transparency within the organization?,What aspects do you find least positive or in need of improvement?,0.057344543002191384
