ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Very Satisfied,Agree,0
0,0.0,Very Satisfied,Disagree,0
1,0.0,Satisfied,Agree,0
1,0.0,Satisfied,Disagree,0
2,0.0,Neutral,Agree,0
2,0.0,Neutral,Disagree,0
3,0.0,Dissatisfied,Agree,0
3,0.0,Dissatisfied,Disagree,0
4,0.0,Very Dissatisfied,Agree,0
4,0.0,Very Dissatisfied,Disagree,0
0,1.0,Excellent,Agree,0
0,1.0,Excellent,Disagree,0
1,1.0,Good,Agree,0
1,1.0,Good,Disagree,0
2,1.0,Fair,Agree,0
2,1.0,Fair,Disagree,0
3,1.0,Poor,Agree,0
3,1.0,Poor,Disagree,0
4,1.0,Very Poor,Agree,0
4,1.0,Very Poor,Disagree,0
0,2.0,Very Effective,Agree,0
0,2.0,Very Effective,Disagree,0
1,2.0,Effective,Agree,0
1,2.0,Effective,Disagree,0
2,2.0,Somewhat Effective,Agree,0
2,2.0,Somewhat Effective,Disagree,0
3,2.0,Somewhat Ineffective,Agree,0
3,2.0,Somewhat Ineffective,Disagree,0
4,2.0,Very Ineffective,Agree,0
4,2.0,Very Ineffective,Disagree,0
