QUESTIONNAIRE_ID,QUESTION_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
500100059,0.0,0,Strongly agree,1,0.0,0.0,0.0
500100059,0.0,1,Agree,1,0.0,0.0,0.0
500100059,0.0,2,Neutral,1,0.0,0.0,0.0
500100059,0.0,3,Disagree,1,0.0,0.0,0.0
500100059,0.0,4,Strongly disagree,1,0.0,0.0,0.0
500100059,1.0,0,Strongly agree,Very poor,0.0,0.0,0.0
500100059,1.0,1,Agree,Very poor,0.0,0.0,0.0
500100059,1.0,2,Neutral,Very poor,0.0,0.0,0.0
500100059,1.0,3,Disagree,Very poor,0.0,0.0,0.0
500100059,1.0,4,Strongly disagree,Very poor,0.0,0.0,0.0
500100059,2.0,0,Strongly agree,Yes,0.0,0.0,0.0
500100059,2.0,1,Agree,Yes,0.0,0.0,0.0
500100059,2.0,2,Neutral,Yes,0.0,0.0,0.0
500100059,2.0,3,Disagree,Yes,0.0,0.0,0.0
500100059,2.0,4,Strongly disagree,Yes,0.0,0.0,0.0
500100059,3.0,0,Strongly agree,1,0.0,0.0,0.0
500100059,3.0,1,Agree,1,0.0,0.0,0.0
500100059,3.0,2,Neutral,1,0.0,0.0,0.0
500100059,3.0,3,Disagree,1,0.0,0.0,0.0
500100059,3.0,4,Strongly disagree,1,0.0,0.0,0.0
