QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,Expecting property name enclosed in double quotes: line 7 column 13 (char 149),-1,-1,0,0,0,-1,0,0
1146004,True,False,Invalid control character at: line 5 column 13 (char 213),-1,-1,0,0,0,-1,0,0
1173001,True,False,Invalid control character at: line 6 column 39 (char 113),-1,-1,0,0,0,-1,0,0
1173002,True,False,Expecting property name enclosed in double quotes: line 6 column 9 (char 117),-1,-1,0,0,0,-1,0,0
1173003,True,False,Invalid control character at: line 5 column 12 (char 73),-1,-1,0,0,0,-1,0,0
1173004,True,False,Expecting ':' delimiter: line 4 column 68 (char 169),-1,-1,0,0,0,-1,0,0
1173005,True,False,Expecting property name enclosed in double quotes: line 8 column 10 (char 75),-1,-1,0,0,0,-1,0,0
1213249,True,False,Expecting ':' delimiter: line 5 column 45 (char 79),-1,-1,0,0,0,-1,0,0
1433792,True,False,Expecting ':' delimiter: line 5 column 57 (char 91),-1,-1,0,0,0,-1,0,0
5100002,True,False,Expecting property name enclosed in double quotes: line 9 column 17 (char 120),-1,-1,0,0,0,-1,0,0
5100003,True,False,Invalid control character at: line 5 column 31 (char 88),-1,-1,0,0,0,-1,0,0
500000002,True,False,Expecting ':' delimiter: line 9 column 30 (char 119),-1,-1,0,0,0,-1,0,0
500000003,True,False,Expecting property name enclosed in double quotes: line 7 column 7 (char 121),-1,-1,0,0,0,-1,0,0
500000005,True,False,Expecting ':' delimiter: line 5 column 63 (char 97),-1,-1,0,0,0,-1,0,0
500100002,True,False,Expecting ':' delimiter: line 9 column 26 (char 110),-1,-1,0,0,0,-1,0,0
500100003,True,False,Invalid control character at: line 5 column 44 (char 109),-1,-1,0,0,0,-1,0,0
500100004,True,False,Invalid control character at: line 6 column 20 (char 106),-1,-1,0,0,0,-1,0,0
500100005,True,False,Expecting property name enclosed in double quotes: line 5 column 9 (char 57),-1,-1,0,0,0,-1,0,0
500100006,True,False,Expecting ':' delimiter: line 6 column 18 (char 109),-1,-1,0,0,0,-1,0,0
500100007,True,False,Expecting property name enclosed in double quotes: line 9 column 7 (char 79),-1,-1,0,0,0,-1,0,0
500100008,True,False,Expecting ':' delimiter: line 8 column 42 (char 99),-1,-1,0,0,0,-1,0,0
500100009,True,False,Expecting ':' delimiter: line 5 column 79 (char 113),-1,-1,0,0,0,-1,0,0
500100010,True,False,Expecting ':' delimiter: line 1 column 71 (char 70),-1,-1,0,0,0,-1,0,0
500100011,True,False,Expecting property name enclosed in double quotes: line 9 column 13 (char 85),-1,-1,0,0,0,-1,0,0
500100012,True,False,Expecting value: line 5 column 44 (char 78),-1,-1,0,0,0,-1,0,0
500100013,True,False,Invalid control character at: line 6 column 12 (char 76),-1,-1,0,0,0,-1,0,0
500100014,True,False,Expecting property name enclosed in double quotes: line 7 column 5 (char 113),-1,-1,0,0,0,-1,0,0
500100015,True,False,Invalid control character at: line 5 column 32 (char 81),-1,-1,0,0,0,-1,0,0
500100016,True,False,Expecting property name enclosed in double quotes: line 9 column 15 (char 108),-1,-1,0,0,0,-1,0,0
500100017,True,False,Expecting property name enclosed in double quotes: line 5 column 1 (char 53),-1,-1,0,0,0,-1,0,0
500100018,True,False,Invalid control character at: line 5 column 44 (char 95),-1,-1,0,0,0,-1,0,0
500100019,True,False,Expecting property name enclosed in double quotes: line 9 column 17 (char 141),-1,-1,0,0,0,-1,0,0
500100020,True,False,Expecting property name enclosed in double quotes: line 6 column 11 (char 66),-1,-1,0,0,0,-1,0,0
500100021,True,False,Expecting property name enclosed in double quotes: line 7 column 13 (char 102),-1,-1,0,0,0,-1,0,0
500100022,True,False,Expecting property name enclosed in double quotes: line 6 column 10 (char 84),-1,-1,0,0,0,-1,0,0
500100023,True,False,Expecting ':' delimiter: line 9 column 26 (char 111),-1,-1,0,0,0,-1,0,0
500100024,True,False,Expecting ':' delimiter: line 5 column 42 (char 76),-1,-1,0,0,0,-1,0,0
500100025,True,False,Expecting property name enclosed in double quotes: line 6 column 9 (char 153),-1,-1,0,0,0,-1,0,0
500100026,True,False,Expecting ':' delimiter: line 5 column 95 (char 129),-1,-1,0,0,0,-1,0,0
500100027,True,False,Expecting property name enclosed in double quotes: line 6 column 14 (char 133),-1,-1,0,0,0,-1,0,0
500100028,True,False,Expecting ':' delimiter: line 7 column 7 (char 147),-1,-1,0,0,0,-1,0,0
500100029,True,False,Expecting ':' delimiter: line 6 column 22 (char 137),-1,-1,0,0,0,-1,0,0
500100030,True,False,Expecting ':' delimiter: line 9 column 30 (char 137),-1,-1,0,0,0,-1,0,0
500100031,True,False,Expecting property name enclosed in double quotes: line 9 column 13 (char 106),-1,-1,0,0,0,-1,0,0
500100032,True,False,Invalid control character at: line 8 column 18 (char 146),-1,-1,0,0,0,-1,0,0
500100033,True,False,Expecting ':' delimiter: line 5 column 49 (char 83),-1,-1,0,0,0,-1,0,0
500100034,True,False,Expecting property name enclosed in double quotes: line 9 column 17 (char 111),-1,-1,0,0,0,-1,0,0
500100035,True,False,Invalid control character at: line 6 column 25 (char 108),-1,-1,0,0,0,-1,0,0
500100036,True,False,Invalid control character at: line 6 column 12 (char 75),-1,-1,0,0,0,-1,0,0
500100037,True,False,Expecting ':' delimiter: line 5 column 42 (char 76),-1,-1,0,0,0,-1,0,0
500100038,True,False,Expecting property name enclosed in double quotes: line 7 column 11 (char 66),-1,-1,0,0,0,-1,0,0
500100039,True,False,Expecting property name enclosed in double quotes: line 9 column 17 (char 91),-1,-1,0,0,0,-1,0,0
500100040,True,False,Expecting property name enclosed in double quotes: line 9 column 29 (char 103),-1,-1,0,0,0,-1,0,0
500100041,True,False,Expecting ':' delimiter: line 6 column 56 (char 153),-1,-1,0,0,0,-1,0,0
500100042,True,False,Expecting ':' delimiter: line 5 column 66 (char 100),-1,-1,0,0,0,-1,0,0
500100043,True,False,Expecting property name enclosed in double quotes: line 17 column 25 (char 200),-1,-1,0,0,0,-1,0,0
500100044,True,False,Expecting ':' delimiter: line 6 column 19 (char 123),-1,-1,0,0,0,-1,0,0
500100045,True,False,Expecting property name enclosed in double quotes: line 6 column 10 (char 98),-1,-1,0,0,0,-1,0,0
500100046,True,False,Invalid control character at: line 5 column 48 (char 104),-1,-1,0,0,0,-1,0,0
500100047,True,False,Expecting property name enclosed in double quotes: line 6 column 11 (char 66),-1,-1,0,0,0,-1,0,0
500100048,True,False,Expecting property name enclosed in double quotes: line 7 column 11 (char 66),-1,-1,0,0,0,-1,0,0
500100049,True,False,Invalid control character at: line 6 column 14 (char 126),-1,-1,0,0,0,-1,0,0
500100050,True,False,Expecting property name enclosed in double quotes: line 8 column 1 (char 166),-1,-1,0,0,0,-1,0,0
500100051,True,False,Invalid control character at: line 7 column 17 (char 143),-1,-1,0,0,0,-1,0,0
500100052,True,False,Expecting ':' delimiter: line 5 column 39 (char 73),-1,-1,0,0,0,-1,0,0
500100053,True,False,Expecting property name enclosed in double quotes: line 7 column 13 (char 142),-1,-1,0,0,0,-1,0,0
500100054,True,False,Expecting ':' delimiter: line 4 column 59 (char 196),-1,-1,0,0,0,-1,0,0
500100055,True,False,Expecting ':' delimiter: line 9 column 26 (char 109),-1,-1,0,0,0,-1,0,0
500100056,True,False,Expecting property name enclosed in double quotes: line 8 column 13 (char 165),-1,-1,0,0,0,-1,0,0
500100057,True,False,Expecting ':' delimiter: line 5 column 224 (char 258),-1,-1,0,0,0,-1,0,0
500100058,True,False,Expecting ':' delimiter: line 6 column 19 (char 138),-1,-1,0,0,0,-1,0,0
500100059,True,False,Invalid control character at: line 7 column 12 (char 74),-1,-1,0,0,0,-1,0,0
500100060,True,False,Expecting ':' delimiter: line 8 column 20 (char 154),-1,-1,0,0,0,-1,0,0
500100061,True,False,Expecting ':' delimiter: line 6 column 19 (char 138),-1,-1,0,0,0,-1,0,0
500100062,True,False,Invalid control character at: line 4 column 39 (char 88),-1,-1,0,0,0,-1,0,0
500100063,True,False,Invalid control character at: line 6 column 12 (char 74),-1,-1,0,0,0,-1,0,0
500100064,True,False,Expecting property name enclosed in double quotes: line 12 column 13 (char 103),-1,-1,0,0,0,-1,0,0
500100065,True,False,Expecting ':' delimiter: line 6 column 19 (char 127),-1,-1,0,0,0,-1,0,0
500100066,True,False,Invalid control character at: line 6 column 12 (char 92),-1,-1,0,0,0,-1,0,0
