EXPERIMENT_ID,ASW_BLEU_SCORE,ASW_ROUGE_L_F1_SCORE,QST_BLEU_SCORE,QST_ROUGE_L_F1_SCORE
0s_FULL_mistral-7x22B_4000MT_0.25T_0.5FP,0.0,0.0,0.0405217161961341,0.1336737807326042
0s_FULL_mistral-7x22B_4000MT_0.25T_0FP,0.06839746900725553,0.11060632178300096,0.16636316934498493,0.3334765223453867
0s_FULL_mistral-7x22B_4000MT_0.5T_0FP,0.08024003071374028,0.12198792062188296,0.1463640034988995,0.31065763239000166
0s_FULL_mistral-7x22B_4000MT_0T_0FP,0.07956717344758953,0.11812676994843031,0.16572894755062195,0.3281779463588525
0s_mistral-7x22B_4000MT_0.25T_0FP,0.08844534558935202,0.1315509244383513,0.1878374392586697,0.35190696703613006
0s_mistral-7x22B_4000MT_0.5T_0FP,0.053925648489214814,0.08488200116876585,0.16874655723669776,0.32501536959372024
0s_mistral-7x22B_4000MT_0T_0FP,0.0094034306543454,0.044878472222222174,0.12164208601307636,0.2512780162378863
1s_FULL_mistral-7x22B_4000MT_0.25T_0FP,0.0599030427034543,0.1363174603174603,0.3054639739059885,0.4782831661092531
1s_FULL_mistral-7x22B_4000MT_0.5T_0FP,0.0590818992316775,0.1283333333333333,0.3820561118647672,0.5032723192820927
1s_FULL_mistral-7x22B_4000MT_0T_0FP,0.0,0.0,0.06823581308476509,0.2543405844099228
1s_mistral-7x22B_4000MT_0.25T_0FP,0.3076923076923077,0.3623219373219373,0.24117369688125387,0.39273758542191717
1s_mistral-7x22B_4000MT_0.5T_0FP,0.0,0.0,0.0785968029378756,0.25057654226578374
1s_mistral-7x22B_4000MT_0T_0FP,0.0746125901021149,0.12300324170072063,0.17885716317080713,0.3194678243235476
