ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,How many hours do you typically work per week?,What is your role in the company?,0
0,How many hours do you typically work per week?,How long have you been with the company?,0.07812427026034686
0,How many hours do you typically work per week?,"On a scale of 1 to 10, how satisfied are you with your current work-life balance? (1 being very dissatisfied, 10 being very satisfied)",0.010433904068142983
0,How many hours do you typically work per week?,Do you feel encouraged to take breaks and utilize your vacation time?,0.039582766879518234
0,How many hours do you typically work per week?,Do you think that your company is maintaining a healthy work-life balance?,0.039582766879518234
0,How many hours do you typically work per week?,How can the company better support employees in managing their work and personal lives?,0.0448240673044897
0,How many hours do you typically work per week?,Any additional comments or feedback regarding work-life balance?,0
1,Do you feel that your work schedule is flexible?,What is your role in the company?,0.07812427026034686
1,Do you feel that your work schedule is flexible?,How long have you been with the company?,0.05524220127634179
1,Do you feel that your work schedule is flexible?,"On a scale of 1 to 10, how satisfied are you with your current work-life balance? (1 being very dissatisfied, 10 being very satisfied)",0.014755768641667619
1,Do you feel that your work schedule is flexible?,Do you feel encouraged to take breaks and utilize your vacation time?,0.23884377019126313
1,Do you feel that your work schedule is flexible?,Do you think that your company is maintaining a healthy work-life balance?,0.26703545307500115
1,Do you feel that your work schedule is flexible?,How can the company better support employees in managing their work and personal lives?,0.03169540195136687
1,Do you feel that your work schedule is flexible?,Any additional comments or feedback regarding work-life balance?,0.0
2,How often do you check work emails or messages outside of work hours?,What is your role in the company?,0
2,How often do you check work emails or messages outside of work hours?,How long have you been with the company?,0.057344543002191384
2,How often do you check work emails or messages outside of work hours?,"On a scale of 1 to 10, how satisfied are you with your current work-life balance? (1 being very dissatisfied, 10 being very satisfied)",0.024604364363688375
2,How often do you check work emails or messages outside of work hours?,Do you feel encouraged to take breaks and utilize your vacation time?,0.0405487152208931
2,How often do you check work emails or messages outside of work hours?,Do you think that your company is maintaining a healthy work-life balance?,0.0405487152208931
2,How often do you check work emails or messages outside of work hours?,How can the company better support employees in managing their work and personal lives?,0.05309881489255981
2,How often do you check work emails or messages outside of work hours?,Any additional comments or feedback regarding work-life balance?,0.0405487152208931
3,Do you feel that your work is impacting your personal life?,What is your role in the company?,0.06602885419955529
3,Do you feel that your work is impacting your personal life?,How long have you been with the company?,0.046689450558483385
3,Do you feel that your work is impacting your personal life?,"On a scale of 1 to 10, how satisfied are you with your current work-life balance? (1 being very dissatisfied, 10 being very satisfied)",0.020252406976228772
3,Do you feel that your work is impacting your personal life?,Do you feel encouraged to take breaks and utilize your vacation time?,0.24624495093303567
3,Do you feel that your work is impacting your personal life?,Do you think that your company is maintaining a healthy work-life balance?,0.275310224701184
3,Do you feel that your work is impacting your personal life?,How can the company better support employees in managing their work and personal lives?,0.05026779223527293
3,Do you feel that your work is impacting your personal life?,Any additional comments or feedback regarding work-life balance?,0.0
4,What do you think is the biggest challenge to achieving a good work-life balance?,What is your role in the company?,0.06595524618531728
4,What do you think is the biggest challenge to achieving a good work-life balance?,How long have you been with the company?,0.053852233004558006
4,What do you think is the biggest challenge to achieving a good work-life balance?,"On a scale of 1 to 10, how satisfied are you with your current work-life balance? (1 being very dissatisfied, 10 being very satisfied)",0.08114073996745637
4,What do you think is the biggest challenge to achieving a good work-life balance?,Do you feel encouraged to take breaks and utilize your vacation time?,0.053852233004558006
4,What do you think is the biggest challenge to achieving a good work-life balance?,Do you think that your company is maintaining a healthy work-life balance?,0.25677629550654774
4,What do you think is the biggest challenge to achieving a good work-life balance?,How can the company better support employees in managing their work and personal lives?,0.03807927913956097
4,What do you think is the biggest challenge to achieving a good work-life balance?,Any additional comments or feedback regarding work-life balance?,0.10482848367219184
5,What steps would you suggest to improve work-life balance within the company?,What is your role in the company?,0.1507556722888818
5,What steps would you suggest to improve work-life balance within the company?,How long have you been with the company?,0.1507556722888818
5,What steps would you suggest to improve work-life balance within the company?,"On a scale of 1 to 10, how satisfied are you with your current work-life balance? (1 being very dissatisfied, 10 being very satisfied)",0.027646121923731386
5,What steps would you suggest to improve work-life balance within the company?,Do you feel encouraged to take breaks and utilize your vacation time?,0.06135967792806904
5,What steps would you suggest to improve work-life balance within the company?,Do you think that your company is maintaining a healthy work-life balance?,0.06135967792806904
5,What steps would you suggest to improve work-life balance within the company?,How can the company better support employees in managing their work and personal lives?,0.03672701732836426
5,What steps would you suggest to improve work-life balance within the company?,Any additional comments or feedback regarding work-life balance?,0.04338784435436014
