ID,GENERATED,GROUND_TRUTH,R1_PRECISION,R1_RECALL,R1_F1_SCORE,R2_PRECISION,R2_RECALL,R2_F1_SCORE,RL_PRECISION,RL_RECALL,RL_F1_SCORE
0,How would you rate the overall teambuilding initiatives of the company?,Which team or department do you belong to?,0.09090909090909091,0.125,0.10526315789473685,0.0,0.0,0.0,0.09090909090909091,0.125,0.10526315789473685
0,How would you rate the overall teambuilding initiatives of the company?,Which team-building activities have you found most beneficial or enjoyable? (Select all that apply),0.09090909090909091,0.06666666666666667,0.07692307692307691,0.0,0.0,0.0,0.09090909090909091,0.06666666666666667,0.07692307692307691
0,How would you rate the overall teambuilding initiatives of the company?,Have you noticed any positive changes in team dynamics or morale as a result of participating in team-building initiatives?,0.2727272727272727,0.15,0.19354838709677416,0.0,0.0,0.0,0.18181818181818182,0.1,0.12903225806451613
0,How would you rate the overall teambuilding initiatives of the company?,What aspects of past team-building initiatives do you think were particularly effective?,0.2727272727272727,0.23076923076923078,0.24999999999999994,0.0,0.0,0.0,0.09090909090909091,0.07692307692307693,0.08333333333333334
0,How would you rate the overall teambuilding initiatives of the company?,What aspects of past team-building initiatives do you think need improvement?,0.2727272727272727,0.25,0.2608695652173913,0.0,0.0,0.0,0.09090909090909091,0.08333333333333333,0.08695652173913043
0,How would you rate the overall teambuilding initiatives of the company?,Do you have any suggestions for new team-building activities or improvements to existing ones?,0.09090909090909091,0.06666666666666667,0.07692307692307691,0.0,0.0,0.0,0.09090909090909091,0.06666666666666667,0.07692307692307691
1,Have you participated in any teambuilding activities organized by the company?,Which team or department do you belong to?,0.09090909090909091,0.125,0.10526315789473685,0.0,0.0,0.0,0.09090909090909091,0.125,0.10526315789473685
1,Have you participated in any teambuilding activities organized by the company?,Which team-building activities have you found most beneficial or enjoyable? (Select all that apply),0.2727272727272727,0.2,0.23076923076923075,0.1,0.07142857142857142,0.08333333333333333,0.18181818181818182,0.13333333333333333,0.15384615384615383
1,Have you participated in any teambuilding activities organized by the company?,Have you noticed any positive changes in team dynamics or morale as a result of participating in team-building initiatives?,0.45454545454545453,0.25,0.3225806451612903,0.2,0.10526315789473684,0.13793103448275862,0.36363636363636365,0.2,0.25806451612903225
1,Have you participated in any teambuilding activities organized by the company?,What aspects of past team-building initiatives do you think were particularly effective?,0.09090909090909091,0.07692307692307693,0.08333333333333334,0.0,0.0,0.0,0.09090909090909091,0.07692307692307693,0.08333333333333334
1,Have you participated in any teambuilding activities organized by the company?,What aspects of past team-building initiatives do you think need improvement?,0.09090909090909091,0.08333333333333333,0.08695652173913043,0.0,0.0,0.0,0.09090909090909091,0.08333333333333333,0.08695652173913043
1,Have you participated in any teambuilding activities organized by the company?,Do you have any suggestions for new team-building activities or improvements to existing ones?,0.36363636363636365,0.26666666666666666,0.30769230769230765,0.0,0.0,0.0,0.2727272727272727,0.2,0.23076923076923075
2,"On a scale of 1 to 5, how would you rate the effectiveness of the teambuilding activities?",Which team or department do you belong to?,0.11764705882352941,0.25,0.15999999999999998,0.0,0.0,0.0,0.058823529411764705,0.125,0.07999999999999999
2,"On a scale of 1 to 5, how would you rate the effectiveness of the teambuilding activities?",Which team-building activities have you found most beneficial or enjoyable? (Select all that apply),0.11764705882352941,0.13333333333333333,0.125,0.0,0.0,0.0,0.058823529411764705,0.06666666666666667,0.0625
2,"On a scale of 1 to 5, how would you rate the effectiveness of the teambuilding activities?",Have you noticed any positive changes in team dynamics or morale as a result of participating in team-building initiatives?,0.17647058823529413,0.15,0.16216216216216214,0.0,0.0,0.0,0.11764705882352941,0.1,0.1081081081081081
2,"On a scale of 1 to 5, how would you rate the effectiveness of the teambuilding activities?",What aspects of past team-building initiatives do you think were particularly effective?,0.17647058823529413,0.23076923076923078,0.20000000000000004,0.0,0.0,0.0,0.17647058823529413,0.23076923076923078,0.20000000000000004
2,"On a scale of 1 to 5, how would you rate the effectiveness of the teambuilding activities?",What aspects of past team-building initiatives do you think need improvement?,0.11764705882352941,0.16666666666666666,0.13793103448275862,0.0,0.0,0.0,0.11764705882352941,0.16666666666666666,0.13793103448275862
2,"On a scale of 1 to 5, how would you rate the effectiveness of the teambuilding activities?",Do you have any suggestions for new team-building activities or improvements to existing ones?,0.17647058823529413,0.2,0.18750000000000003,0.0,0.0,0.0,0.11764705882352941,0.13333333333333333,0.125
3,Do you feel that the teambuilding activities have helped improve communication within your team?,Which team or department do you belong to?,0.21428571428571427,0.375,0.2727272727272727,0.07692307692307693,0.14285714285714285,0.1,0.14285714285714285,0.25,0.18181818181818182
3,Do you feel that the teambuilding activities have helped improve communication within your team?,Which team-building activities have you found most beneficial or enjoyable? (Select all that apply),0.35714285714285715,0.3333333333333333,0.3448275862068965,0.07692307692307693,0.07142857142857142,0.07407407407407408,0.14285714285714285,0.13333333333333333,0.1379310344827586
3,Do you feel that the teambuilding activities have helped improve communication within your team?,Have you noticed any positive changes in team dynamics or morale as a result of participating in team-building initiatives?,0.21428571428571427,0.15,0.1764705882352941,0.0,0.0,0.0,0.14285714285714285,0.1,0.11764705882352941
3,Do you feel that the teambuilding activities have helped improve communication within your team?,What aspects of past team-building initiatives do you think were particularly effective?,0.21428571428571427,0.23076923076923078,0.22222222222222224,0.07692307692307693,0.08333333333333333,0.08,0.14285714285714285,0.15384615384615385,0.14814814814814817
3,Do you feel that the teambuilding activities have helped improve communication within your team?,What aspects of past team-building initiatives do you think need improvement?,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.07692307692307693,0.09090909090909091,0.08333333333333334,0.21428571428571427,0.25,0.23076923076923075
3,Do you feel that the teambuilding activities have helped improve communication within your team?,Do you have any suggestions for new team-building activities or improvements to existing ones?,0.42857142857142855,0.4,0.4137931034482759,0.07692307692307693,0.07142857142857142,0.07407407407407408,0.2857142857142857,0.26666666666666666,0.2758620689655172
4,Do you feel that the teambuilding activities have helped improve collaboration within your team?,Which team or department do you belong to?,0.21428571428571427,0.375,0.2727272727272727,0.07692307692307693,0.14285714285714285,0.1,0.14285714285714285,0.25,0.18181818181818182
4,Do you feel that the teambuilding activities have helped improve collaboration within your team?,Which team-building activities have you found most beneficial or enjoyable? (Select all that apply),0.35714285714285715,0.3333333333333333,0.3448275862068965,0.07692307692307693,0.07142857142857142,0.07407407407407408,0.14285714285714285,0.13333333333333333,0.1379310344827586
