QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,Extra data: line 113 column 1 (char 2849),-1,-1,0,0,0,-1,0,0
1146004,False,True,,1,-1,0,7,0,-1,5.714285714285714,-2.7142857142857144
1173001,True,False,"Expecting ',' delimiter: line 198 column 1 (char 2894)",-1,-1,0,0,0,-1,0,0
1173002,True,False,"Expecting ',' delimiter: line 53 column 2 (char 813)",-1,-1,0,0,0,-1,0,0
1173003,False,True,,1,-1,0,6,0,-1,3.0,1.5
1173004,True,False,Extra data: line 93 column 1 (char 2245),-1,-1,0,0,0,-1,0,0
1173005,False,True,,1,-1,0,4,0,-1,6.0,-3.0
1213249,False,True,,1,-1,0,2,0,-1,5.5,-3.5
1433792,True,False,"Expecting ',' delimiter: line 259 column 5 (char 6892)",-1,-1,0,0,0,-1,0,0
5100002,True,False,"Expecting ',' delimiter: line 269 column 5 (char 7127)",-1,-1,0,0,0,-1,0,0
5100003,True,False,"Expecting ',' delimiter: line 144 column 1 (char 1790)",-1,-1,0,0,0,-1,0,0
500000002,True,False,"Expecting ',' delimiter: line 394 column 2 (char 5249)",-1,-1,0,0,0,-1,0,0
500000003,True,False,"Expecting ',' delimiter: line 195 column 1 (char 2643)",-1,-1,0,0,0,-1,0,0
500000005,False,True,,1,-1,0,5,0,-1,5.0,-1.2000000000000002
500100002,False,True,,1,-1,0,9,0,-1,2.5555555555555554,0.5555555555555558
500100003,True,False,"Expecting ',' delimiter: line 226 column 5 (char 6461)",-1,-1,0,0,0,-1,0,0
500100004,False,True,,1,-1,0,9,0,-1,3.111111111111111,0.5555555555555554
500100005,False,True,,1,-1,0,11,0,-1,2.1818181818181817,1.0909090909090913
500100006,True,False,"Expecting ',' delimiter: line 354 column 9 (char 7897)",-1,-1,0,0,0,-1,0,0
500100007,True,False,Extra data: line 256 column 1 (char 6736),-1,-1,0,0,0,-1,0,0
500100008,True,False,"Expecting ',' delimiter: line 241 column 5 (char 6755)",-1,-1,0,0,0,-1,0,0
500100009,False,True,,1,-1,0,7,0,-1,5.0,-0.8571428571428568
500100010,False,True,,1,-1,0,10,0,-1,2.3,1.7000000000000002
500100011,True,False,Extra data: line 244 column 1 (char 6224),-1,-1,0,0,0,-1,0,0
500100012,False,True,,1,-1,0,5,0,-1,5.0,-0.7999999999999998
500100013,True,False,"Expecting ',' delimiter: line 208 column 5 (char 5193)",-1,-1,0,0,0,-1,0,0
500100014,True,False,Extra data: line 217 column 1 (char 5498),-1,-1,0,0,0,-1,0,0
500100015,False,True,,1,-1,0,6,0,-1,4.833333333333333,-0.5
500100016,False,True,,1,-1,0,5,0,-1,5.4,-1.2000000000000002
500100017,False,True,,1,-1,0,7,0,-1,2.2857142857142856,0.4285714285714288
500100018,True,False,"Expecting ',' delimiter: line 191 column 5 (char 5125)",-1,-1,0,0,0,-1,0,0
500100019,False,True,,1,-1,0,7,0,-1,2.4285714285714284,1.285714285714286
500100020,False,True,,1,-1,0,5,0,-1,2.2,-0.20000000000000018
500100021,False,True,,1,-1,0,6,0,-1,3.5,-0.5
500100022,False,True,,1,-1,0,7,0,-1,2.0,1.0
500100023,False,True,,1,-1,0,7,0,-1,2.142857142857143,2.142857142857143
500100024,False,True,,1,-1,0,6,0,-1,4.5,-0.8333333333333335
500100025,True,False,"Expecting ',' delimiter: line 192 column 1 (char 2836)",-1,-1,0,0,0,-1,0,0
500100026,True,False,"Expecting ',' delimiter: line 154 column 1 (char 3634)",-1,-1,0,0,0,-1,0,0
500100027,True,False,Unterminated string starting at: line 548 column 27 (char 13908),-1,-1,0,0,0,-1,0,0
500100028,True,False,"Expecting ',' delimiter: line 67 column 2 (char 935)",-1,-1,0,0,0,-1,0,0
500100029,False,True,,1,-1,0,7,0,-1,5.0,-1.2857142857142856
500100030,False,True,,1,-1,0,6,0,-1,5.0,-1.8333333333333335
500100031,False,True,,1,-1,0,7,0,-1,5.0,-2.2857142857142856
500100032,False,True,,1,-1,0,8,0,-1,5.0,-0.875
500100033,False,True,,1,-1,0,7,0,-1,5.0,-2.0
500100034,False,True,,1,-1,0,6,0,-1,5.0,-2.6666666666666665
500100035,False,True,,1,-1,0,6,0,-1,5.0,-2.8333333333333335
500100036,False,True,,1,-1,0,8,0,-1,5.0,-1.625
500100037,True,False,"Expecting ',' delimiter: line 250 column 3 (char 6489)",-1,-1,0,0,0,-1,0,0
500100038,False,True,,1,-1,0,7,0,-1,5.0,-1.5714285714285716
500100039,True,False,"Expecting ',' delimiter: line 127 column 1 (char 2854)",-1,-1,0,0,0,-1,0,0
500100040,True,False,"Expecting ',' delimiter: line 125 column 13 (char 3887)",-1,-1,0,0,0,-1,0,0
500100041,True,False,"Expecting ',' delimiter: line 201 column 1 (char 3167)",-1,-1,0,0,0,-1,0,0
500100042,True,False,"Expecting ',' delimiter: line 180 column 1 (char 2956)",-1,-1,0,0,0,-1,0,0
500100043,False,True,,1,-1,0,5,0,-1,4.0,-1.2000000000000002
500100044,False,True,,1,-1,0,5,0,-1,5.0,-1.0
500100045,False,True,,1,-1,0,6,0,-1,3.6666666666666665,0.8333333333333335
500100046,True,False,"Expecting ',' delimiter: line 135 column 1 (char 1889)",-1,-1,0,0,0,-1,0,0
500100047,False,True,,1,-1,0,5,0,-1,3.6,-1.0
500100048,False,True,,1,-1,0,8,0,-1,1.0,1.75
500100049,False,True,,1,-1,0,6,0,-1,1.0,0.8333333333333333
500100050,False,True,,1,-1,0,5,0,-1,4.0,-1.2000000000000002
500100051,False,True,,1,-1,0,6,0,-1,3.5,-0.5
500100052,True,False,"Expecting ',' delimiter: line 176 column 5 (char 4757)",-1,-1,0,0,0,-1,0,0
500100053,True,False,Unterminated string starting at: line 235 column 31 (char 3962),-1,-1,0,0,0,-1,0,0
500100054,False,True,,1,-1,0,7,0,-1,5.0,-1.2857142857142856
500100055,False,True,,1,-1,0,6,0,-1,1.8333333333333333,2.833333333333334
500100056,False,True,,1,-1,0,5,0,-1,3.0,0.6000000000000001
500100057,True,False,Expecting property name enclosed in double quotes: line 85 column 15 (char 2260),-1,-1,0,0,0,-1,0,0
500100058,False,True,,1,-1,0,7,0,-1,1.0,2.857142857142857
500100059,False,True,,1,-1,0,7,0,-1,4.714285714285714,-1.4285714285714288
500100060,False,True,,1,-1,0,7,0,-1,3.857142857142857,0.1428571428571428
500100061,False,True,,1,-1,0,6,0,-1,5.0,-0.33333333333333304
500100062,False,True,,1,-1,0,8,0,-1,5.0,-0.625
500100063,False,True,,1,-1,0,6,0,-1,4.333333333333333,0.5
500100064,False,True,,1,-1,0,5,0,-1,4.6,-0.7999999999999998
500100065,False,True,,1,-1,0,7,0,-1,3.142857142857143,-0.5714285714285712
500100066,False,True,,1,-1,0,7,0,-1,5.142857142857143,-1.1428571428571432
