ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,10 - Extremely likely,Agree,0
0,0.0,10 - Extremely likely,Disagree,0
1,0.0,9 - Very likely,Agree,0
1,0.0,9 - Very likely,Disagree,0
2,0.0,8 - Likely,Agree,0
2,0.0,8 - Likely,Disagree,0
3,0.0,7 - Somewhat likely,Agree,0
3,0.0,7 - Somewhat likely,Disagree,0
4,0.0,6 - Neutral,Agree,0
4,0.0,6 - Neutral,Disagree,0
5,0.0,5 - Somewhat unlikely,Agree,0
5,0.0,5 - Somewhat unlikely,Disagree,0
6,0.0,4 - Likely to not recommend,Agree,0
6,0.0,4 - Likely to not recommend,Disagree,0
7,0.0,3 - Somewhat unlikely to not recommend,Agree,0
7,0.0,3 - Somewhat unlikely to not recommend,Disagree,0
8,0.0,2 - Likely to not recommend,Agree,0
8,0.0,2 - Likely to not recommend,Disagree,0
9,0.0,1 - Extremely unlikely to not recommend,Agree,0
9,0.0,1 - Extremely unlikely to not recommend,Disagree,0
0,1.0,Strongly agree,Agree,0
0,1.0,Strongly agree,Disagree,0
1,1.0,Agree,Agree,1.0
1,1.0,Agree,Disagree,0.0
2,1.0,Neutral,Agree,0
2,1.0,Neutral,Disagree,0
3,1.0,Disagree,Agree,0
3,1.0,Disagree,Disagree,1.0
4,1.0,Strongly disagree,Agree,0
4,1.0,Strongly disagree,Disagree,0
0,2.0,Strongly agree,Agree,0
0,2.0,Strongly agree,Disagree,0
1,2.0,Agree,Agree,1.0
1,2.0,Agree,Disagree,0.0
2,2.0,Neutral,Agree,0
2,2.0,Neutral,Disagree,0
3,2.0,Disagree,Agree,0
3,2.0,Disagree,Disagree,1.0
4,2.0,Strongly disagree,Agree,0
4,2.0,Strongly disagree,Disagree,0
0,3.0,Strongly agree,Agree,0
0,3.0,Strongly agree,Disagree,0
1,3.0,Agree,Agree,1.0
1,3.0,Agree,Disagree,0.0
2,3.0,Neutral,Agree,0
2,3.0,Neutral,Disagree,0
3,3.0,Disagree,Agree,0
3,3.0,Disagree,Disagree,1.0
4,3.0,Strongly disagree,Agree,0
4,3.0,Strongly disagree,Disagree,0
0,4.0,Strongly agree,Sales,0
0,4.0,Strongly agree,Marketing,0
0,4.0,Strongly agree,Consultancy,0
0,4.0,Strongly agree,R&D,0
1,4.0,Agree,Sales,0
1,4.0,Agree,Marketing,0
1,4.0,Agree,Consultancy,0
1,4.0,Agree,R&D,0
2,4.0,Neutral,Sales,0
2,4.0,Neutral,Marketing,0
2,4.0,Neutral,Consultancy,0
2,4.0,Neutral,R&D,0
3,4.0,Disagree,Sales,0
3,4.0,Disagree,Marketing,0
3,4.0,Disagree,Consultancy,0
3,4.0,Disagree,R&D,0
4,4.0,Strongly disagree,Sales,0
4,4.0,Strongly disagree,Marketing,0
4,4.0,Strongly disagree,Consultancy,0
4,4.0,Strongly disagree,R&D,0
