ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,Yes,Happy,0
0,0.0,Yes,Neutral,0
0,0.0,Yes,Unhappy,0
1,0.0,No,Happy,0
1,0.0,No,Neutral,0
1,0.0,No,Unhappy,0
0,1.0,"Yes, it is very quiet",Happy,0
0,1.0,"Yes, it is very quiet",Neutral,0
0,1.0,"Yes, it is very quiet",Unhappy,0
1,1.0,"Yes, it is quiet but there are some noises",Happy,0
1,1.0,"Yes, it is quiet but there are some noises",Neutral,0
1,1.0,"Yes, it is quiet but there are some noises",Unhappy,0
2,1.0,"No, it is too noisy",Happy,0
2,1.0,"No, it is too noisy",Neutral,0
2,1.0,"No, it is too noisy",Unhappy,0
0,2.0,"Yes, I have plenty of space",Happy,0
0,2.0,"Yes, I have plenty of space",Neutral,0
0,2.0,"Yes, I have plenty of space",Unhappy,0
1,2.0,"Yes, I have just enough space",Happy,0
1,2.0,"Yes, I have just enough space",Neutral,0
1,2.0,"Yes, I have just enough space",Unhappy,0
2,2.0,"No, I do not have enough space",Happy,0
2,2.0,"No, I do not have enough space",Neutral,0
2,2.0,"No, I do not have enough space",Unhappy,0
0,3.0,"Yes, I love it",Happy,0
0,3.0,"Yes, I love it",Neutral,0
0,3.0,"Yes, I love it",Unhappy,0
1,3.0,"Yes, it is good",Happy,0
1,3.0,"Yes, it is good",Neutral,0
1,3.0,"Yes, it is good",Unhappy,0
2,3.0,"No, I do not like it",Happy,0
2,3.0,"No, I do not like it",Neutral,0
2,3.0,"No, I do not like it",Unhappy,0
0,4.0,Yes,Happy,0
0,4.0,Yes,Neutral,0
0,4.0,Yes,Unhappy,0
1,4.0,No,Happy,0
1,4.0,No,Neutral,0
1,4.0,No,Unhappy,0
