ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,How would you rate the overall quality of the course?,How do you rate this course?,0.21081851067789192
0,How would you rate the overall quality of the course?,What's your preferred device?,0.0
0,How would you rate the overall quality of the course?,Send us feedback,0.0
0,How would you rate the overall quality of the course?,What's important for you,0.050580904312838224
0,How would you rate the overall quality of the course?,How do you split the welfare amount?,0.08760869616261553
1,How would you rate the course materials and resources?,How do you rate this course?,0.20412414523193154
1,How would you rate the course materials and resources?,What's your preferred device?,0.0
1,How would you rate the course materials and resources?,Send us feedback,0.0
1,How would you rate the course materials and resources?,What's important for you,0.05524220127634179
1,How would you rate the course materials and resources?,How do you split the welfare amount?,0.09568229933257028
2,How would you rate the course instructor?,How do you rate this course?,0.26726124191242434
2,How would you rate the course instructor?,What's your preferred device?,0.0
2,How would you rate the course instructor?,Send us feedback,0.0
2,How would you rate the course instructor?,What's important for you,0.06806702140179671
2,How would you rate the course instructor?,How do you split the welfare amount?,0.11789553938779
3,How well did the course meet your learning objectives?,How do you rate this course?,0.05524220127634179
3,How well did the course meet your learning objectives?,What's your preferred device?,0.05524220127634179
3,How well did the course meet your learning objectives?,Send us feedback,0.0
3,How well did the course meet your learning objectives?,What's important for you,0.0
3,How well did the course meet your learning objectives?,How do you split the welfare amount?,0.07812427026034686
4,Would you recommend this course to others?,How do you rate this course?,0.09626130481676062
4,Would you recommend this course to others?,What's your preferred device?,0.0
4,Would you recommend this course to others?,Send us feedback,0.0
4,Would you recommend this course to others?,What's important for you,0.06806702140179671
4,Would you recommend this course to others?,How do you split the welfare amount?,0.06806702140179671
