ID,GENERATED,GROUND_TRUTH,R1_PRECISION,R1_RECALL,R1_F1_SCORE,R2_PRECISION,R2_RECALL,R2_F1_SCORE,RL_PRECISION,RL_RECALL,RL_F1_SCORE
0,The onboarding process was easy to understand,Did you receive sufficient information and guidance during your onboarding process?,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.16666666666666666,0.1,0.125,0.2857142857142857,0.18181818181818182,0.2222222222222222
0,The onboarding process was easy to understand,Were the onboarding activities and training sessions relevant to your role and responsibilities?,0.42857142857142855,0.23076923076923078,0.3,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.42857142857142855,0.23076923076923078,0.3
0,The onboarding process was easy to understand,How would you rate the support provided by your manager and team members during the onboarding process?,0.42857142857142855,0.17647058823529413,0.25,0.3333333333333333,0.125,0.18181818181818182,0.42857142857142855,0.17647058823529413,0.25
0,The onboarding process was easy to understand,What aspects of the onboarding process do you believe need improvement within the company?,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.42857142857142855,0.21428571428571427,0.2857142857142857
0,The onboarding process was easy to understand,How can the company enhance the onboarding experience to better support new employees?,0.42857142857142855,0.23076923076923078,0.3,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.42857142857142855,0.23076923076923078,0.3
0,The onboarding process was easy to understand,Any additional comments or suggestions regarding the onboarding experience?,0.2857142857142857,0.2222222222222222,0.25,0.16666666666666666,0.125,0.14285714285714288,0.2857142857142857,0.2222222222222222,0.25
1,The onboarding process was enjoyable,Did you receive sufficient information and guidance during your onboarding process?,0.4,0.18181818181818182,0.25000000000000006,0.25,0.1,0.14285714285714288,0.4,0.18181818181818182,0.25000000000000006
1,The onboarding process was enjoyable,Were the onboarding activities and training sessions relevant to your role and responsibilities?,0.4,0.15384615384615385,0.2222222222222222,0.25,0.08333333333333333,0.125,0.4,0.15384615384615385,0.2222222222222222
1,The onboarding process was enjoyable,How would you rate the support provided by your manager and team members during the onboarding process?,0.6,0.17647058823529413,0.2727272727272727,0.5,0.125,0.2,0.6,0.17647058823529413,0.2727272727272727
1,The onboarding process was enjoyable,What aspects of the onboarding process do you believe need improvement within the company?,0.6,0.21428571428571427,0.3157894736842105,0.5,0.15384615384615385,0.23529411764705882,0.6,0.21428571428571427,0.3157894736842105
1,The onboarding process was enjoyable,How can the company enhance the onboarding experience to better support new employees?,0.4,0.15384615384615385,0.2222222222222222,0.25,0.08333333333333333,0.125,0.4,0.15384615384615385,0.2222222222222222
1,The onboarding process was enjoyable,Any additional comments or suggestions regarding the onboarding experience?,0.4,0.2222222222222222,0.2857142857142857,0.25,0.125,0.16666666666666666,0.4,0.2222222222222222,0.2857142857142857
2,The onboarding process provided me with the necessary tools and resources,Did you receive sufficient information and guidance during your onboarding process?,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.1,0.1,0.10000000000000002,0.18181818181818182,0.18181818181818182,0.18181818181818182
2,The onboarding process provided me with the necessary tools and resources,Were the onboarding activities and training sessions relevant to your role and responsibilities?,0.2727272727272727,0.23076923076923078,0.24999999999999994,0.1,0.08333333333333333,0.0909090909090909,0.2727272727272727,0.23076923076923078,0.24999999999999994
2,The onboarding process provided me with the necessary tools and resources,How would you rate the support provided by your manager and team members during the onboarding process?,0.5454545454545454,0.35294117647058826,0.42857142857142855,0.2,0.125,0.15384615384615385,0.2727272727272727,0.17647058823529413,0.21428571428571427
